user_id,first_name,last_name,age,city,reg_date,plan,churn_date,messages_included,gb_per_month,minutes_included,usd_monthly_pay,usd_per_gb,usd_per_message,usd_per_minute
10032,Carlos,Lopez,44,MTY,2022-01-09 18:17:33.263315829,Premium,"1,71832E+18",500,20,600,25,1.0,0.05,0.07
10033,Carlos,Gomez,57,GDL,2022-01-10 00:51:51.177794448,Premium,,500,20,600,25,1.0,0.05,0.07
10034,Mariana,Torres,49,Cali,2022-01-10 07:26:09.092273068,Basico,,100,5,100,12,1.2,0.08,0.1
10035,Mariana,Lopez,43,CDMX,2022-01-10 14:00:27.006751688,Basico,,100,5,100,12,1.2,0.08,0.1
10036,Mariana,Ramirez,44,Cali,2022-01-10 20:34:44.921230307,Basico,,100,5,100,12,1.2,0.08,0.1
10037,Sofia,Torres,79,Medellín,2022-01-11 03:09:02.835708927,Premium,,500,20,600,25,1.0,0.05,0.07
10038,Carlos,Torres,36,Medellín,2022-01-11 09:43:20.750187547,Premium,"1,7261E+18",500,20,600,25,1.0,0.05,0.07
10039,Carlos,Torres,67,Bogotá,2022-01-11 16:17:38.664666166,Premium,,500,20,600,25,1.0,0.05,0.07
10040,Ana,Garcia,59,Medellín,2026-05-10 00:00:00.000000000,Basico,,100,5,100,12,1.2,0.08,0.1
10041,Sofia,Torres,46,Medellín,2022-01-12 05:26:14.493623405,Basico,,100,5,100,12,1.2,0.08,0.1
10042,Mateo,Gomez,56,Cali,2022-01-12 12:00:32.408102025,Basico,"1,72169E+18",100,5,100,12,1.2,0.08,0.1
10043,Sofia,Torres,77,Bogotá,2022-01-12 18:34:50.322580645,Basico,,100,5,100,12,1.2,0.08,0.1
10044,Mateo,Garcia,58,Bogotá,2022-01-13 01:09:08.237059264,Basico,"1,7312E+18",100,5,100,12,1.2,0.08,0.1
10045,Ana,Torres,50,Medellín,2022-01-13 07:43:26.151537884,Basico,,100,5,100,12,1.2,0.08,0.1
10046,Luis,Ramirez,36,CDMX,2022-01-13 14:17:44.066016504,Premium,,500,20,600,25,1.0,0.05,0.07
10047,Carlos,Ramirez,54,Bogotá,2022-01-13 20:52:01.980495123,Premium,"1,72843E+18",500,20,600,25,1.0,0.05,0.07
10048,Ana,Garcia,36,,2022-01-14 03:26:19.894973743,Basico,,100,5,100,12,1.2,0.08,0.1
10049,Carlos,Gomez,50,CDMX,2022-01-14 10:00:37.809452363,Basico,,100,5,100,12,1.2,0.08,0.1
10050,Mariana,Gomez,64,MTY,2022-01-14 16:34:55.723930982,Basico,,100,5,100,12,1.2,0.08,0.1
10051,Luis,Lopez,33,MTY,2022-01-14 23:09:13.638409602,Premium,,500,20,600,25,1.0,0.05,0.07
10052,Luis,Garcia,40,Medellín,2022-01-15 05:43:31.552888222,Basico,,100,5,100,12,1.2,0.08,0.1
10053,Ana,Torres,24,CDMX,2022-01-15 12:17:49.467366841,Basico,,100,5,100,12,1.2,0.08,0.1
10054,Luis,Garcia,43,Medellín,2022-01-15 18:52:07.381845461,Premium,"1,72351E+18",500,20,600,25,1.0,0.05,0.07
10055,Mateo,Lopez,49,CDMX,2022-01-16 01:26:25.296324081,Basico,,100,5,100,12,1.2,0.08,0.1
10056,Luis,Garcia,29,CDMX,2026-05-10 00:00:00.000000000,Basico,"1,72187E+18",100,5,100,12,1.2,0.08,0.1
10057,Carlos,Garcia,25,Medellín,2022-01-16 14:35:01.125281320,Premium,,500,20,600,25,1.0,0.05,0.07
10058,Carlos,Lopez,22,MTY,2022-01-16 21:09:19.039759940,Premium,,500,20,600,25,1.0,0.05,0.07
10059,Carlos,Gomez,59,,2022-01-17 03:43:36.954238559,Premium,,500,20,600,25,1.0,0.05,0.07
10060,Carlos,Torres,45,CDMX,2026-05-10 00:00:00.000000000,Basico,,100,5,100,12,1.2,0.08,0.1
10061,Mateo,Lopez,70,Bogotá,2022-01-17 16:52:12.783195799,Basico,,100,5,100,12,1.2,0.08,0.1
10062,Sofia,Ramirez,22,CDMX,2022-01-17 23:26:30.697674418,Premium,,500,20,600,25,1.0,0.05,0.07
10063,Mariana,Gomez,66,MTY,2022-01-18 06:00:48.612153038,Basico,,100,5,100,12,1.2,0.08,0.1
10064,Ana,Ramirez,43,,2022-01-18 12:35:06.526631658,Premium,,500,20,600,25,1.0,0.05,0.07
10065,Carlos,Gomez,22,,2022-01-18 19:09:24.441110277,Premium,,500,20,600,25,1.0,0.05,0.07
10066,Luis,Torres,39,CDMX,2022-01-19 01:43:42.355588897,Premium,,500,20,600,25,1.0,0.05,0.07
10067,Carlos,Torres,32,Bogotá,2022-01-19 08:18:00.270067517,Basico,,100,5,100,12,1.2,0.08,0.1
10068,Luis,Garcia,30,Medellín,2022-01-19 14:52:18.184546136,Basico,,100,5,100,12,1.2,0.08,0.1
10069,Mariana,Ramirez,45,GDL,2022-01-19 21:26:36.099024756,Basico,"1,72264E+18",100,5,100,12,1.2,0.08,0.1
10070,Mariana,Gomez,50,CDMX,2026-05-10 00:00:00.000000000,Premium,,500,20,600,25,1.0,0.05,0.07
10071,Mariana,Torres,60,,2022-01-20 10:35:11.927981995,Basico,,100,5,100,12,1.2,0.08,0.1
10072,Luis,Lopez,40,,2022-01-20 17:09:29.842460615,Basico,,100,5,100,12,1.2,0.08,0.1
10073,Carlos,Torres,50,,2022-01-20 23:43:47.756939235,Basico,"1,72817E+18",100,5,100,12,1.2,0.08,0.1
10074,Mariana,Lopez,60,Cali,2022-01-21 06:18:05.671417854,Basico,,100,5,100,12,1.2,0.08,0.1
10075,Mateo,Gomez,35,Medellín,2022-01-21 12:52:23.585896474,Basico,,100,5,100,12,1.2,0.08,0.1
10076,Luis,Torres,67,MTY,2022-01-21 19:26:41.500375094,Basico,"1,73405E+18",100,5,100,12,1.2,0.08,0.1
10077,Luis,Torres,70,CDMX,2022-01-22 02:00:59.414853713,Premium,,500,20,600,25,1.0,0.05,0.07
10078,Carlos,Gomez,47,CDMX,2022-01-22 08:35:17.329332333,Basico,,100,5,100,12,1.2,0.08,0.1
10079,Luis,Torres,43,Medellín,2022-01-22 15:09:35.243810952,Basico,,100,5,100,12,1.2,0.08,0.1
10080,Luis,Lopez,33,Cali,2022-01-22 21:43:53.158289572,Premium,,500,20,600,25,1.0,0.05,0.07
10081,Mariana,Torres,30,Cali,2022-01-23 04:18:11.072768192,Premium,,500,20,600,25,1.0,0.05,0.07
10082,Carlos,Ramirez,56,,2022-01-23 10:52:28.987246811,Basico,"1,72463E+18",100,5,100,12,1.2,0.08,0.1
10083,Mariana,Garcia,50,?,2022-01-23 17:26:46.901725431,Basico,,100,5,100,12,1.2,0.08,0.1
10084,Mariana,Lopez,43,,2022-01-24 00:01:04.816204051,Premium,"1,73534E+18",500,20,600,25,1.0,0.05,0.07
10085,Carlos,Ramirez,65,GDL,2022-01-24 06:35:22.730682670,Basico,,100,5,100,12,1.2,0.08,0.1
10086,Ana,Gomez,18,Cali,2022-01-24 13:09:40.645161290,Basico,,100,5,100,12,1.2,0.08,0.1
10087,Mariana,Lopez,66,Bogotá,2022-01-24 19:43:58.559639910,Basico,,100,5,100,12,1.2,0.08,0.1
10088,Mateo,Garcia,55,GDL,2022-01-25 02:18:16.474118529,Basico,,100,5,100,12,1.2,0.08,0.1
10089,Mateo,Garcia,19,,2022-01-25 08:52:34.388597149,Basico,,100,5,100,12,1.2,0.08,0.1
10090,Luis,Gomez,66,,2022-01-25 15:26:52.303075769,Premium,,500,20,600,25,1.0,0.05,0.07
10091,Mateo,Gomez,23,CDMX,2022-01-25 22:01:10.217554388,Premium,,500,20,600,25,1.0,0.05,0.07
10092,Luis,Lopez,63,CDMX,2022-01-26 04:35:28.132033008,Basico,,100,5,100,12,1.2,0.08,0.1
10093,Ana,Torres,67,Medellín,2022-01-26 11:09:46.046511628,Basico,,100,5,100,12,1.2,0.08,0.1
10094,Carlos,Gomez,55,Medellín,2022-01-26 17:44:03.960990247,Basico,,100,5,100,12,1.2,0.08,0.1
10095,Carlos,Torres,59,,2022-01-27 00:18:21.875468867,Basico,,100,5,100,12,1.2,0.08,0.1
10096,Carlos,Ramirez,41,GDL,2022-01-27 06:52:39.789947487,Basico,,100,5,100,12,1.2,0.08,0.1
10097,Mateo,Garcia,35,CDMX,2022-01-27 13:26:57.704426106,Premium,,500,20,600,25,1.0,0.05,0.07
10098,Ana,Torres,44,GDL,2022-01-27 20:01:15.618904726,Premium,,500,20,600,25,1.0,0.05,0.07
10099,Mateo,Garcia,58,CDMX,2022-01-28 02:35:33.533383346,Basico,"1,71763E+18",100,5,100,12,1.2,0.08,0.1
10100,Mateo,Torres,25,CDMX,2022-01-28 09:09:51.447861965,Premium,,500,20,600,25,1.0,0.05,0.07
10101,Ana,Ramirez,45,,2022-01-28 15:44:09.362340585,Basico,,100,5,100,12,1.2,0.08,0.1
10102,Ana,Gomez,27,MTY,2022-01-28 22:18:27.276819205,Basico,,100,5,100,12,1.2,0.08,0.1
10103,Ana,Ramirez,34,Bogotá,2022-01-29 04:52:45.191297824,Basico,,100,5,100,12,1.2,0.08,0.1
10104,Ana,Gomez,72,CDMX,2022-01-29 11:27:03.105776444,Premium,"1,72109E+18",500,20,600,25,1.0,0.05,0.07
10105,Carlos,Gomez,79,GDL,2022-01-29 18:01:21.020255064,Premium,,500,20,600,25,1.0,0.05,0.07
10106,Sofia,Garcia,46,Cali,2022-01-30 00:35:38.934733683,Premium,,500,20,600,25,1.0,0.05,0.07
10107,Sofia,Ramirez,75,Medellín,2022-01-30 07:09:56.849212303,Basico,,100,5,100,12,1.2,0.08,0.1
10108,Ana,Torres,23,Cali,2022-01-30 13:44:14.763690923,Basico,,100,5,100,12,1.2,0.08,0.1
10109,Sofia,Ramirez,31,Bogotá,2022-01-30 20:18:32.678169542,Basico,,100,5,100,12,1.2,0.08,0.1
10110,Sofia,Garcia,39,MTY,2022-01-31 02:52:50.592648162,Basico,,100,5,100,12,1.2,0.08,0.1
10111,Ana,Gomez,71,Bogotá,2022-01-31 09:27:08.507126782,Basico,,100,5,100,12,1.2,0.08,0.1
10112,Sofia,Garcia,23,MTY,2022-01-31 16:01:26.421605401,Premium,,500,20,600,25,1.0,0.05,0.07
10113,Mateo,Lopez,43,Cali,2022-01-31 22:35:44.336084021,Premium,,500,20,600,25,1.0,0.05,0.07
10114,Luis,Lopez,56,GDL,2022-02-01 05:10:02.250562641,Basico,,100,5,100,12,1.2,0.08,0.1
10115,Luis,Torres,29,Medellín,2022-02-01 11:44:20.165041260,Basico,,100,5,100,12,1.2,0.08,0.1
10116,Ana,Garcia,52,CDMX,2022-02-01 18:18:38.079519880,Basico,,100,5,100,12,1.2,0.08,0.1
10117,Carlos,Torres,31,Medellín,2022-02-02 00:52:55.993998500,Premium,"1,73405E+18",500,20,600,25,1.0,0.05,0.07
10118,Ana,Torres,39,,2022-02-02 07:27:13.908477119,Premium,,500,20,600,25,1.0,0.05,0.07
10119,Carlos,Lopez,68,Medellín,2022-02-02 14:01:31.822955739,Premium,,500,20,600,25,1.0,0.05,0.07
10120,Luis,Torres,40,Bogotá,2022-02-02 20:35:49.737434359,Basico,,100,5,100,12,1.2,0.08,0.1
10121,Ana,Lopez,65,,2022-02-03 03:10:07.651912978,Basico,"1,72299E+18",100,5,100,12,1.2,0.08,0.1
10122,Mariana,Gomez,24,Medellín,2022-02-03 09:44:25.566391598,Premium,,500,20,600,25,1.0,0.05,0.07
10123,Mateo,Garcia,57,GDL,2022-02-03 16:18:43.480870217,Premium,,500,20,600,25,1.0,0.05,0.07
10124,Sofia,Torres,67,GDL,2022-02-03 22:53:01.395348837,Basico,,100,5,100,12,1.2,0.08,0.1
10125,Carlos,Lopez,42,Medellín,2022-02-04 05:27:19.309827457,Basico,,100,5,100,12,1.2,0.08,0.1
10126,Mariana,Ramirez,30,Medellín,2022-02-04 12:01:37.224306076,Basico,,100,5,100,12,1.2,0.08,0.1
10127,Sofia,Torres,38,MTY,2022-02-04 18:35:55.138784696,Premium,,500,20,600,25,1.0,0.05,0.07
10128,Sofia,Gomez,58,MTY,2022-02-05 01:10:13.053263316,Premium,,500,20,600,25,1.0,0.05,0.07
10129,Ana,Gomez,27,,2022-02-05 07:44:30.967741935,Premium,,500,20,600,25,1.0,0.05,0.07
10130,Sofia,Ramirez,70,CDMX,2022-02-05 14:18:48.882220555,Basico,,100,5,100,12,1.2,0.08,0.1
10131,Mateo,Lopez,72,Bogotá,2022-02-05 20:53:06.796699175,Basico,,100,5,100,12,1.2,0.08,0.1
10132,Mariana,Torres,76,CDMX,2022-02-06 03:27:24.711177794,Basico,,100,5,100,12,1.2,0.08,0.1
10133,Sofia,Lopez,26,Cali,2022-02-06 10:01:42.625656414,Premium,"1,7331E+18",500,20,600,25,1.0,0.05,0.07
10134,Ana,Gomez,32,CDMX,2022-02-06 16:36:00.540135034,Basico,,100,5,100,12,1.2,0.08,0.1
10135,Mateo,Lopez,69,Medellín,2022-02-06 23:10:18.454613653,Premium,,500,20,600,25,1.0,0.05,0.07
10136,Luis,Gomez,19,CDMX,2022-02-07 05:44:36.369092273,Basico,,100,5,100,12,1.2,0.08,0.1
10137,Mariana,Lopez,42,Medellín,2022-02-07 12:18:54.283570893,Premium,,500,20,600,25,1.0,0.05,0.07
10138,Sofia,Ramirez,30,Cali,2022-02-07 18:53:12.198049512,Premium,,500,20,600,25,1.0,0.05,0.07
10139,Ana,Garcia,51,MTY,2022-02-08 01:27:30.112528132,Basico,,100,5,100,12,1.2,0.08,0.1
10140,Luis,Ramirez,68,Bogotá,2022-02-08 08:01:48.027006752,Premium,,500,20,600,25,1.0,0.05,0.07
10141,Luis,Ramirez,75,Bogotá,2022-02-08 14:36:05.941485371,Basico,,100,5,100,12,1.2,0.08,0.1
10142,Carlos,Garcia,51,MTY,2022-02-08 21:10:23.855963991,Basico,,100,5,100,12,1.2,0.08,0.1
10143,Mateo,Garcia,52,Cali,2022-02-09 03:44:41.770442611,Basico,,100,5,100,12,1.2,0.08,0.1
10144,Sofia,Torres,55,GDL,2022-02-09 10:18:59.684921230,Premium,,500,20,600,25,1.0,0.05,0.07
10145,Ana,Torres,20,Medellín,2022-02-09 16:53:17.599399850,Premium,"1,7299E+18",500,20,600,25,1.0,0.05,0.07
10146,Carlos,Ramirez,-999,GDL,2022-02-09 23:27:35.513878470,Basico,,100,5,100,12,1.2,0.08,0.1
10147,Mateo,Ramirez,59,GDL,2022-02-10 06:01:53.428357089,Premium,"1,71798E+18",500,20,600,25,1.0,0.05,0.07
10148,Carlos,Gomez,73,MTY,2022-02-10 12:36:11.342835709,Premium,,500,20,600,25,1.0,0.05,0.07
10149,Mariana,Gomez,76,Bogotá,2022-02-10 19:10:29.257314329,Premium,,500,20,600,25,1.0,0.05,0.07
10150,Mateo,Torres,23,Bogotá,2022-02-11 01:44:47.171792948,Basico,"1,71936E+18",100,5,100,12,1.2,0.08,0.1
10151,Mateo,Torres,72,Medellín,2022-02-11 08:19:05.086271568,Basico,,100,5,100,12,1.2,0.08,0.1
10152,Sofia,Gomez,65,GDL,2022-02-11 14:53:23.000750188,Premium,,500,20,600,25,1.0,0.05,0.07
10153,Mateo,Gomez,66,CDMX,2022-02-11 21:27:40.915228807,Basico,,100,5,100,12,1.2,0.08,0.1
10154,Carlos,Lopez,36,Cali,2022-02-12 04:01:58.829707427,Basico,,100,5,100,12,1.2,0.08,0.1
10155,Mateo,Lopez,20,Cali,2022-02-12 10:36:16.744186046,Premium,,500,20,600,25,1.0,0.05,0.07
10156,Sofia,Gomez,35,CDMX,2022-02-12 17:10:34.658664666,Basico,,100,5,100,12,1.2,0.08,0.1
10157,Sofia,Lopez,56,Medellín,2022-02-12 23:44:52.573143286,Premium,,500,20,600,25,1.0,0.05,0.07
10158,Mariana,Garcia,26,MTY,2022-02-13 06:19:10.487621905,Basico,"1,72506E+18",100,5,100,12,1.2,0.08,0.1
10159,Carlos,Torres,69,Cali,2022-02-13 12:53:28.402100525,Premium,,500,20,600,25,1.0,0.05,0.07
10160,Luis,Torres,29,?,2022-02-13 19:27:46.316579145,Basico,,100,5,100,12,1.2,0.08,0.1
10161,Luis,Gomez,22,?,2022-02-14 02:02:04.231057764,Basico,,100,5,100,12,1.2,0.08,0.1
10162,Mateo,Ramirez,20,Cali,2022-02-14 08:36:22.145536384,Basico,,100,5,100,12,1.2,0.08,0.1
10163,Mariana,Gomez,28,GDL,2022-02-14 15:10:40.060015004,Premium,,500,20,600,25,1.0,0.05,0.07
10164,Ana,Lopez,74,Cali,2022-02-14 21:44:57.974493623,Premium,,500,20,600,25,1.0,0.05,0.07
10165,Mateo,Ramirez,47,Bogotá,2022-02-15 04:19:15.888972243,Basico,,100,5,100,12,1.2,0.08,0.1
10166,Mariana,Lopez,21,CDMX,2022-02-15 10:53:33.803450863,Basico,"1,71936E+18",100,5,100,12,1.2,0.08,0.1
10167,Carlos,Garcia,22,Bogotá,2022-02-15 17:27:51.717929482,Basico,,100,5,100,12,1.2,0.08,0.1
10168,Carlos,Lopez,18,,2022-02-16 00:02:09.632408102,Basico,,100,5,100,12,1.2,0.08,0.1
10169,Carlos,Garcia,44,,2022-02-16 06:36:27.546886722,Premium,,500,20,600,25,1.0,0.05,0.07
10170,Carlos,Garcia,45,CDMX,2022-02-16 13:10:45.461365341,Basico,,100,5,100,12,1.2,0.08,0.1
10171,Carlos,Lopez,-999,Medellín,2022-02-16 19:45:03.375843961,Basico,"1,72368E+18",100,5,100,12,1.2,0.08,0.1
10172,Mariana,Lopez,46,Cali,2022-02-17 02:19:21.290322581,Premium,,500,20,600,25,1.0,0.05,0.07
10173,Mariana,Garcia,35,GDL,2022-02-17 08:53:39.204801200,Premium,,500,20,600,25,1.0,0.05,0.07
10174,Sofia,Ramirez,29,Bogotá,2022-02-17 15:27:57.119279820,Premium,,500,20,600,25,1.0,0.05,0.07
10175,Luis,Garcia,30,Medellín,2022-02-17 22:02:15.033758440,Basico,,100,5,100,12,1.2,0.08,0.1
10176,Carlos,Torres,58,Bogotá,2022-02-18 04:36:32.948237059,Basico,,100,5,100,12,1.2,0.08,0.1
10177,Ana,Garcia,19,CDMX,2022-02-18 11:10:50.862715679,Basico,,100,5,100,12,1.2,0.08,0.1
10178,Mariana,Ramirez,54,Medellín,2022-02-18 17:45:08.777194299,Basico,,100,5,100,12,1.2,0.08,0.1
10179,Ana,Torres,62,,2022-02-19 00:19:26.691672918,Premium,,500,20,600,25,1.0,0.05,0.07
10180,Ana,Gomez,33,Medellín,2022-02-19 06:53:44.606151538,Premium,"1,72895E+18",500,20,600,25,1.0,0.05,0.07
10181,Ana,Gomez,65,Cali,2022-02-19 13:28:02.520630158,Basico,,100,5,100,12,1.2,0.08,0.1
10182,Sofia,Ramirez,41,MTY,2022-02-19 20:02:20.435108777,Basico,"1,72022E+18",100,5,100,12,1.2,0.08,0.1
10183,Mariana,Garcia,52,GDL,2022-02-20 02:36:38.349587397,Basico,,100,5,100,12,1.2,0.08,0.1
10184,Ana,Lopez,39,Medellín,2022-02-20 09:10:56.264066017,Basico,,100,5,100,12,1.2,0.08,0.1
10185,Carlos,Ramirez,53,MTY,2022-02-20 15:45:14.178544636,Basico,,100,5,100,12,1.2,0.08,0.1
10186,Mateo,Torres,28,?,2022-02-20 22:19:32.093023256,Basico,,100,5,100,12,1.2,0.08,0.1
10187,Ana,Torres,72,CDMX,2022-02-21 04:53:50.007501875,Basico,,100,5,100,12,1.2,0.08,0.1
10188,Sofia,Gomez,75,Bogotá,2022-02-21 11:28:07.921980495,Basico,,100,5,100,12,1.2,0.08,0.1
10189,Mariana,Torres,63,MTY,2022-02-21 18:02:25.836459115,Basico,,100,5,100,12,1.2,0.08,0.1
10190,Sofia,Ramirez,46,,2022-02-22 00:36:43.750937734,Basico,,100,5,100,12,1.2,0.08,0.1
10191,Ana,Torres,52,CDMX,2022-02-22 07:11:01.665416354,Basico,,100,5,100,12,1.2,0.08,0.1
10192,Mariana,Ramirez,65,CDMX,2022-02-22 13:45:19.579894974,Premium,,500,20,600,25,1.0,0.05,0.07
10193,Mateo,Lopez,71,GDL,2022-02-22 20:19:37.494373594,Basico,,100,5,100,12,1.2,0.08,0.1
10194,Ana,Gomez,32,Cali,2022-02-23 02:53:55.408852213,Basico,,100,5,100,12,1.2,0.08,0.1
10195,Sofia,Torres,77,GDL,2022-02-23 09:28:13.323330833,Basico,,100,5,100,12,1.2,0.08,0.1
10196,Luis,Ramirez,48,GDL,2022-02-23 16:02:31.237809453,Premium,,500,20,600,25,1.0,0.05,0.07
10197,Carlos,Garcia,59,CDMX,2022-02-23 22:36:49.152288072,Basico,,100,5,100,12,1.2,0.08,0.1
10198,Sofia,Gomez,58,Medellín,2022-02-24 05:11:07.066766692,Basico,"1,73033E+18",100,5,100,12,1.2,0.08,0.1
10199,Mariana,Lopez,60,CDMX,2022-02-24 11:45:24.981245312,Basico,,100,5,100,12,1.2,0.08,0.1
10200,Ana,Ramirez,33,MTY,2022-02-24 18:19:42.895723931,Basico,,100,5,100,12,1.2,0.08,0.1
10201,Carlos,Lopez,27,GDL,2022-02-25 00:54:00.810202551,Premium,,500,20,600,25,1.0,0.05,0.07
10202,Ana,Lopez,66,Bogotá,2022-02-25 07:28:18.724681171,Premium,,500,20,600,25,1.0,0.05,0.07
10203,Mariana,Torres,49,Medellín,2022-02-25 14:02:36.639159790,Premium,,500,20,600,25,1.0,0.05,0.07
10204,Ana,Torres,68,Bogotá,2022-02-25 20:36:54.553638410,Basico,,100,5,100,12,1.2,0.08,0.1
10205,Luis,Ramirez,19,,2022-02-26 03:11:12.468117030,Premium,,500,20,600,25,1.0,0.05,0.07
10206,Carlos,Garcia,41,,2022-02-26 09:45:30.382595649,Basico,,100,5,100,12,1.2,0.08,0.1
10207,Carlos,Ramirez,40,MTY,2022-02-26 16:19:48.297074269,Basico,,100,5,100,12,1.2,0.08,0.1
10208,Mariana,Garcia,19,Cali,2022-02-26 22:54:06.211552888,Basico,,100,5,100,12,1.2,0.08,0.1
10209,Luis,Lopez,55,Medellín,2022-02-27 05:28:24.126031508,Basico,,100,5,100,12,1.2,0.08,0.1
10210,Sofia,Gomez,48,,2022-02-27 12:02:42.040510128,Basico,,100,5,100,12,1.2,0.08,0.1
10211,Ana,Ramirez,68,Bogotá,2022-02-27 18:36:59.954988747,Premium,,500,20,600,25,1.0,0.05,0.07
10212,Mateo,Ramirez,57,Bogotá,2022-02-28 01:11:17.869467367,Basico,,100,5,100,12,1.2,0.08,0.1
10213,Ana,Garcia,43,Bogotá,2022-02-28 07:45:35.783945987,Basico,,100,5,100,12,1.2,0.08,0.1
10214,Ana,Lopez,46,?,2022-02-28 14:19:53.698424606,Basico,,100,5,100,12,1.2,0.08,0.1
10215,Sofia,Lopez,20,GDL,2022-02-28 20:54:11.612903226,Basico,,100,5,100,12,1.2,0.08,0.1
10216,Ana,Garcia,75,GDL,2022-03-01 03:28:29.527381846,Premium,,500,20,600,25,1.0,0.05,0.07
10217,Luis,Lopez,31,MTY,2022-03-01 10:02:47.441860465,Basico,,100,5,100,12,1.2,0.08,0.1
10218,Luis,Torres,42,GDL,2022-03-01 16:37:05.356339085,Premium,,500,20,600,25,1.0,0.05,0.07
10219,Carlos,Gomez,65,Bogotá,2022-03-01 23:11:23.270817705,Basico,,100,5,100,12,1.2,0.08,0.1
10220,Mariana,Ramirez,18,CDMX,2022-03-02 05:45:41.185296324,Premium,,500,20,600,25,1.0,0.05,0.07
10221,Mateo,Gomez,70,MTY,2022-03-02 12:19:59.099774944,Premium,,500,20,600,25,1.0,0.05,0.07
10222,Ana,Ramirez,20,,2022-03-02 18:54:17.014253564,Basico,,100,5,100,12,1.2,0.08,0.1
